C:\LipidView Data\LV Results\200131_XtrIL_AMV_TAG_NL.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
794.7	271.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:1 (NH4))	44375	44750	61875	72125	42500
794.7	273.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:0 (NH4))	31125	53875	38750	60125	25250
794.7	299.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:1 (NH4))	14875	18625	20000	29125	18000
794.7	301.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:0 (NH4))	10000	6000	9625	11000	4125
792.8	217.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 12:0 (NH4))	0	6625	0	0	3500
792.8	245.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 14:0 (NH4))	10500	16500	12375	14375	12750
792.8	259.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 15:0 (NH4))	0	0	0	6000	9875
792.8	271.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:1 (NH4))	23000	27500	48750	44625	30250
792.8	273.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:0 (NH4))	6375	9750	6375	13625	6250
792.8	297.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 18:2 (NH4))	0	7375	7625	8000	0
810.8	245.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 14:0 (NH4))	11000	17500	19625	34000	10750
810.8	259.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 15:0 (NH4))	41000	55500	76250	60125	31250
810.8	273.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 16:0 (NH4))	58000	91500	102625	106500	63125
810.8	287.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 17:0 (NH4))	28875	23875	42125	47375	23625
810.8	301.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 18:0 (NH4))	11375	17500	19125	20875	12500
810.8	315.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 19:0 (NH4))	0	7875	15375	6000	8250
808.7	245.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 14:0 (NH4))	11250	20500	20500	30250	11125
808.7	259.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 15:0 (NH4))	25250	33500	39500	28875	25875
808.7	271.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 16:1 (NH4))	33750	40750	50875	84125	29750
808.7	273.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 16:0 (NH4))	21875	26875	36375	57125	27125
808.7	285.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 17:1 (NH4))	8750	5875	9875	20875	7125
808.7	287.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 17:0 (NH4))	9625	10375	9375	29125	6125
808.7	299.30	Positive	Confirmed and Common Results	TAG 47:1+NH4	(-FA 18:1 (NH4))	12875	31125	24250	60000	27000
824.8	217.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 12:0 (NH4))	0	5375	4625	0	0
824.8	245.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 14:0 (NH4))	19875	14000	23250	24500	10250
824.8	259.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 15:0 (NH4))	13625	17375	19750	35000	8625
824.8	273.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 16:0 (NH4))	151250	177125	215500	239625	98375
824.8	287.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 17:0 (NH4))	16875	26375	25375	49375	17750
824.8	301.30	Positive	Confirmed and Common Results	TAG 48:0+NH4	(-FA 18:0 (NH4))	21625	20125	31000	42750	14625
822.8	217.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 12:0 (NH4))	3000	0	4875	4625	5750
822.8	245.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 14:0 (NH4))	30625	34375	43000	50250	15250
822.8	259.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 15:0 (NH4))	11750	18875	9500	24750	14000
822.8	271.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 16:1 (NH4))	58500	59875	80750	96125	39375
822.8	273.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 16:0 (NH4))	54375	113625	114000	127000	51250
822.8	285.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 17:1 (NH4))	9250	8625	10875	17000	7875
822.8	299.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 18:1 (NH4))	33375	41250	64375	82375	20500
822.8	301.30	Positive	Confirmed and Common Results	TAG 48:1+NH4	(-FA 18:0 (NH4))	8125	11125	9625	11625	0
820.8	217.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 12:0 (NH4))	5125	3875	0	8000	0
820.8	245.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 14:0 (NH4))	11750	13250	12250	22750	14000
820.8	259.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 15:0 (NH4))	6000	8875	7625	12250	8000
820.8	271.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 16:1 (NH4))	56750	82750	86500	108500	60750
820.8	273.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 16:0 (NH4))	21750	24250	33500	41875	17000
820.8	285.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 17:1 (NH4))	6625	16375	9625	11250	0
820.8	297.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 18:2 (NH4))	7500	12125	9375	14125	9375
820.8	299.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 18:1 (NH4))	21375	29875	23750	27375	19125
820.8	301.30	Positive	Confirmed and Common Results	TAG 48:2+NH4	(-FA 18:0 (NH4))	5875	0	7250	0	0
818.7	217.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 12:0 (NH4))	0	0	4500	0	4750
818.7	245.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 14:0 (NH4))	6375	0	5250	0	0
818.7	271.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 16:1 (NH4))	21375	20500	23250	37375	18875
818.7	273.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 16:0 (NH4))	0	0	8375	0	0
818.7	297.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 18:2 (NH4))	7000	14125	4375	19500	4625
818.7	299.30	Positive	Confirmed and Common Results	TAG 48:3+NH4	(-FA 18:1 (NH4))	4125	8125	6375	7375	9875
838.8	259.30	Positive	Confirmed and Common Results	TAG 49:0+NH4	(-FA 15:0 (NH4))	10875	14375	21125	21125	11125
838.8	273.30	Positive	Confirmed and Common Results	TAG 49:0+NH4	(-FA 16:0 (NH4))	35000	39250	57125	70625	25875
838.8	287.30	Positive	Confirmed and Common Results	TAG 49:0+NH4	(-FA 17:0 (NH4))	21375	29500	39000	73125	17000
838.8	301.30	Positive	Confirmed and Common Results	TAG 49:0+NH4	(-FA 18:0 (NH4))	11000	12000	16875	23125	7500
836.7	245.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 14:0 (NH4))	7875	7000	4875	16625	7000
836.7	259.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 15:0 (NH4))	11625	18625	24375	38250	13250
836.7	271.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 16:1 (NH4))	18375	33000	17750	48875	14250
836.7	273.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 16:0 (NH4))	26375	39750	45875	67500	25250
836.7	285.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 17:1 (NH4))	9125	18750	21375	22875	0
836.7	287.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 17:0 (NH4))	18500	27000	30750	61625	15375
836.7	299.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 18:1 (NH4))	22250	30500	40000	39875	16875
836.7	301.30	Positive	Confirmed and Common Results	TAG 49:1+NH4	(-FA 18:0 (NH4))	12625	11625	8250	18000	0
834.6	245.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 14:0 (NH4))	0	4375	7000	0	0
834.6	259.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 15:0 (NH4))	9250	14000	18250	15125	3875
834.6	271.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 16:1 (NH4))	26375	36375	48250	65500	21125
834.6	285.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 17:1 (NH4))	8250	20250	11375	24250	11625
834.6	297.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 18:2 (NH4))	5875	13625	9750	4750	9000
834.6	299.30	Positive	Confirmed and Common Results	TAG 49:2+NH4	(-FA 18:1 (NH4))	18500	24125	0	38750	12000
852.8	245.30	Positive	Confirmed and Common Results	TAG 50:0+NH4	(-FA 14:0 (NH4))	0	9750	9000	12750	6375
852.8	273.30	Positive	Confirmed and Common Results	TAG 50:0+NH4	(-FA 16:0 (NH4))	69250	100625	124375	165125	43250
852.8	301.30	Positive	Confirmed and Common Results	TAG 50:0+NH4	(-FA 18:0 (NH4))	65500	50625	64750	85250	40000
850.8	245.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 14:0 (NH4))	11875	12250	16750	12875	0
850.8	271.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 16:1 (NH4))	15625	19500	27000	52250	9375
850.8	273.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 16:0 (NH4))	126250	201250	250500	278500	67125
850.8	285.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 17:1 (NH4))	5875	6625	5875	18875	5750
850.8	287.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 17:0 (NH4))	7500	8000	10000	33125	9125
850.8	299.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 18:1 (NH4))	71250	85500	162125	182125	38000
850.8	301.30	Positive	Confirmed and Common Results	TAG 50:1+NH4	(-FA 18:0 (NH4))	12375	22625	27250	43000	19000
848.8	245.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 14:0 (NH4))	10875	16125	20750	25250	5750
848.8	271.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 16:1 (NH4))	36500	55875	83625	111625	28375
848.8	273.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 16:0 (NH4))	36250	66625	70500	84375	29875
848.8	285.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 17:1 (NH4))	5000	0	9875	15625	6500
848.8	297.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 18:2 (NH4))	15750	24875	19375	26500	16625
848.8	299.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 18:1 (NH4))	56875	82250	118250	133750	34375
848.8	301.30	Positive	Confirmed and Common Results	TAG 50:2+NH4	(-FA 18:0 (NH4))	4625	6625	5875	6500	7000
846.8	245.30	Positive	Confirmed and Common Results	TAG 50:3+NH4	(-FA 14:0 (NH4))	0	0	8625	12125	0
846.8	271.30	Positive	Confirmed and Common Results	TAG 50:3+NH4	(-FA 16:1 (NH4))	16125	27750	28250	41750	11000
846.8	273.30	Positive	Confirmed and Common Results	TAG 50:3+NH4	(-FA 16:0 (NH4))	11125	9625	9875	18625	6250
846.8	297.30	Positive	Confirmed and Common Results	TAG 50:3+NH4	(-FA 18:2 (NH4))	10125	12250	23500	29750	11750
846.8	299.30	Positive	Confirmed and Common Results	TAG 50:3+NH4	(-FA 18:1 (NH4))	13500	16000	22750	29000	8750
866.7	245.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 14:0 (NH4))	0	0	0	0	6625
866.7	259.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 15:0 (NH4))	3375	7000	7750	9125	0
866.7	273.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 16:0 (NH4))	7500	9875	18000	25000	0
866.7	287.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 17:0 (NH4))	11125	12250	13750	26000	0
866.7	301.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 18:0 (NH4))	0	12375	11250	20125	10750
866.7	315.30	Positive	Confirmed and Common Results	TAG 51:0+NH4	(-FA 19:0 (NH4))	7375	8875	11125	10500	0
864.8	259.30	Positive	Confirmed and Common Results	TAG 51:1+NH4	(-FA 15:0 (NH4))	10250	0	10250	14875	0
864.8	273.30	Positive	Confirmed and Common Results	TAG 51:1+NH4	(-FA 16:0 (NH4))	13875	32125	35000	49500	7375
864.8	287.30	Positive	Confirmed and Common Results	TAG 51:1+NH4	(-FA 17:0 (NH4))	19500	28125	26250	64875	0
864.8	299.30	Positive	Confirmed and Common Results	TAG 51:1+NH4	(-FA 18:1 (NH4))	14625	18750	29500	56250	11250
864.8	301.30	Positive	Confirmed and Common Results	TAG 51:1+NH4	(-FA 18:0 (NH4))	5375	13625	13000	17875	0
862.8	259.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 15:0 (NH4))	7750	9125	9250	11500	0
862.8	271.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 16:1 (NH4))	7000	15750	22625	43250	0
862.8	273.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 16:0 (NH4))	9500	15000	18125	22250	6625
862.8	285.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 17:1 (NH4))	14000	12000	18750	14625	8000
862.8	287.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 17:0 (NH4))	9375	8250	18750	31625	4250
862.8	297.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 18:2 (NH4))	6375	7375	7000	20375	0
862.8	299.30	Positive	Confirmed and Common Results	TAG 51:2+NH4	(-FA 18:1 (NH4))	16250	21750	44000	64000	0
860.8	259.30	Positive	Confirmed and Common Results	TAG 51:3+NH4	(-FA 15:0 (NH4))	7750	0	6125	8875	4375
860.8	271.30	Positive	Confirmed and Common Results	TAG 51:3+NH4	(-FA 16:1 (NH4))	6500	14500	10375	12375	5000
860.8	285.30	Positive	Confirmed and Common Results	TAG 51:3+NH4	(-FA 17:1 (NH4))	5875	9625	10250	0	7375
860.8	297.30	Positive	Confirmed and Common Results	TAG 51:3+NH4	(-FA 18:2 (NH4))	4875	10250	7000	10625	0
860.8	299.30	Positive	Confirmed and Common Results	TAG 51:3+NH4	(-FA 18:1 (NH4))	7125	5625	10125	10500	6375
880.7	217.30	Positive	Confirmed and Common Results	TAG 52:0+NH4	(-FA 12:0 (NH4))	13250	9125	8250	7000	7625
880.7	273.30	Positive	Confirmed and Common Results	TAG 52:0+NH4	(-FA 16:0 (NH4))	39000	34125	32875	52875	25375
880.7	301.30	Positive	Confirmed and Common Results	TAG 52:0+NH4	(-FA 18:0 (NH4))	50500	67750	76125	99750	33750
880.7	329.30	Positive	Confirmed and Common Results	TAG 52:0+NH4	(-FA 20:0 (NH4))	8625	6750	7750	8250	0
878.8	245.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 14:0 (NH4))	0	0	0	0	0
