C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_PC_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
804.6	184.00	Positive	Confirmed and Common Results	PC 38:7	(SM/PC)	233807.7894	184180.655	255831.6427	333274.9678	4197.7438
806.6	184.00	Positive	Confirmed and Common Results	PC 38:6	(SM/PC)	1868686.0842	1621713.2773	1884819.9886	2431800.3179	4248.3969
808.6	184.00	Positive	Confirmed and Common Results	PC 38:5	(SM/PC)	2138562.1625	2217202.9489	2136452.872	3014354.749	0
810.6	184.00	Positive	Confirmed and Common Results	PC 38:4	(SM/PC)	1713363.3315	1757897.6269	2803424.9838	3398339.4504	0
812.6	184.00	Positive	Confirmed and Common Results	PC 38:3	(SM/PC)	1154197.1226	1184835.9918	2062410.3345	2162217.729	0
814.6	184.00	Positive	Confirmed and Common Results	PC 38:2	(SM/PC)	855379.2818	936407.7995	1821929.7847	1758971.9688	0
816.7	184.00	Positive	Confirmed and Common Results	PC 38:1	(SM/PC)	182060.9848	196568.0373	394350.6538	459106.8924	0
818.6	184.00	Positive	Confirmed and Common Results	PC 38:0	(SM/PC)	267797.2691	206270.8164	607525.3116	736121.6545	62441.9768
830.7	184.00	Positive	Confirmed and Common Results	PC O-40:1	(SM/PC)	0	138767.3399	103395.5106	148131.4458	0
832.6	184.00	Positive	Confirmed and Common Results	PC 40:7	(SM/PC)	794423.7239	675110.6202	894795.143	1248473.3914	11419.5077
834.6	184.00	Positive	Confirmed and Common Results	PC 40:6	(SM/PC)	899371.4895	820924.0468	1039026.5196	1346188.8025	0
836.6	184.00	Positive	Confirmed and Common Results	PC 40:5	(SM/PC)	500392.8217	454598.1258	661314.5782	902767.9909	0
838.6	184.00	Positive	Confirmed and Common Results	PC 40:4	(SM/PC)	194082.4842	212525.8743	413427.7859	434782.9175	0
